,Unnamed: 0,Network,Assignment,Influence,Treatment,Feature Names,Mean Estimated,Mean True,Perc Diff Overall (%),Mean Bias,Bias Lower Bound (95%),Bias Upper Bound (95%),FPR
0,0,barabasi_albert_graph,random,0.3,0.3,Naive,1.494,0.3,398.025,1.1128584068562417,0.9590627713802876,1.266654042332196,0.18
1,1,barabasi_albert_graph,random,0.3,0.3,"degree_centrality, betweenness_centrality, community",0.946,0.3,215.392,1.3032124398683942,1.0322699760519791,1.5741549036848093,0.09
2,2,barabasi_albert_graph,random,0.3,0.3,"degree_centrality, betweenness_centrality",0.944,0.3,214.77,1.194473663605243,0.9265679901940084,1.4623793370164777,0.1
3,3,barabasi_albert_graph,random,0.3,0.3,community,1.484,0.3,394.741,1.1863537209546362,1.0318492195863085,1.340858222322964,0.18
4,4,barabasi_albert_graph,random,0.3,0.3,Node2Vec,0.601,0.3,100.414,0.6189210109634735,0.2204813534321335,1.0173606684948135,0.04
5,5,barabasi_albert_graph,random,0.6,0.3,Naive,2.35,0.3,683.313,2.1631913086548438,1.9414626322927107,2.384919985016977,0.33
6,6,barabasi_albert_graph,random,0.6,0.3,"degree_centrality, betweenness_centrality, community",1.266,0.3,322.023,1.9717623392942045,1.7394913763819657,2.2040333022064433,0.01
7,7,barabasi_albert_graph,random,0.6,0.3,"degree_centrality, betweenness_centrality",1.264,0.3,321.412,1.9158297723125484,1.673001139005314,2.1586584056197826,0.01
8,8,barabasi_albert_graph,random,0.6,0.3,community,2.341,0.3,680.428,2.0498739025005244,1.8260481430324271,2.273699661968622,0.32
9,9,barabasi_albert_graph,random,0.6,0.3,Node2Vec,0.861,0.3,187.07,1.1101374179278438,0.7125067828793463,1.5077680529763413,0.04
10,10,barabasi_albert_graph,random,0.9,0.3,Naive,7.481,0.3,2393.671,7.202792999548659,6.330203298847497,8.07538270024982,0.79
11,11,barabasi_albert_graph,random,0.9,0.3,"degree_centrality, betweenness_centrality, community",1.832,0.3,510.597,3.01232097425485,2.692298243484738,3.3323437050249622,0.07
12,12,barabasi_albert_graph,random,0.9,0.3,"degree_centrality, betweenness_centrality",1.842,0.3,513.981,2.9842105791748392,2.6629940929356937,3.305427065413985,0.06
13,13,barabasi_albert_graph,random,0.9,0.3,community,7.457,0.3,2385.733,7.259925814523447,6.390260441927,8.129591187119892,0.79
14,14,barabasi_albert_graph,random,0.9,0.3,Node2Vec,1.004,0.3,234.615,1.374826600846181,0.9602001577385595,1.7894530439538023,0.02
15,15,watts_strogatz_graph,random,0.3,0.3,Naive,1.498,0.3,399.273,1.0788969631447882,0.9178873277590096,1.2399065985305668,0.2
16,16,watts_strogatz_graph,random,0.3,0.3,"degree_centrality, betweenness_centrality, community",1.168,0.3,289.451,1.288131265450215,1.0702186721261913,1.5060438587742389,0.05
17,17,watts_strogatz_graph,random,0.3,0.3,"degree_centrality, betweenness_centrality",1.21,0.3,303.262,1.3547620290608073,1.1380050749206079,1.5715189832010068,0.07
18,18,watts_strogatz_graph,random,0.3,0.3,community,1.284,0.3,328.134,0.8447289878242421,0.6761282284977097,1.0133297471507745,0.05
19,19,watts_strogatz_graph,random,0.3,0.3,Node2Vec,1.02,0.3,240.063,1.1033012987409487,0.7394535674640498,1.4671490300178478,0.06
20,20,watts_strogatz_graph,random,0.6,0.3,Naive,2.311,0.3,670.221,2.1232525672050966,1.85537646585319,2.3911286685570032,0.25
21,21,watts_strogatz_graph,random,0.6,0.3,"degree_centrality, betweenness_centrality, community",1.364,0.3,354.76,1.6468734188344774,1.3462156056586496,1.947531232010305,0.05
22,22,watts_strogatz_graph,random,0.6,0.3,"degree_centrality, betweenness_centrality",1.387,0.3,362.363,1.6670988236172917,1.3916456422623962,1.9425520049721872,0.04
23,23,watts_strogatz_graph,random,0.6,0.3,community,2.012,0.3,570.683,1.8640873868492798,1.588041319142647,2.1401334545559125,0.19
24,24,watts_strogatz_graph,random,0.6,0.3,Node2Vec,0.798,0.3,166.123,0.7725864058069809,0.429593823567124,1.1155789880468379,0.02
25,25,watts_strogatz_graph,random,0.9,0.3,Naive,7.55,0.3,2416.528,7.258306789605677,6.215422318822711,8.301191260388643,0.45
26,26,watts_strogatz_graph,random,0.9,0.3,"degree_centrality, betweenness_centrality, community",3.114,0.3,937.909,4.297104718752954,3.5379619061475074,5.056247531358401,0.09
27,27,watts_strogatz_graph,random,0.9,0.3,"degree_centrality, betweenness_centrality",3.303,0.3,1000.9,4.275663878271942,3.5312852594694366,5.0200424970744475,0.06
28,28,watts_strogatz_graph,random,0.9,0.3,community,5.81,0.3,1836.566,5.624389451910653,4.669995655414561,6.5787832484067446,0.38
29,29,watts_strogatz_graph,random,0.9,0.3,Node2Vec,0.691,0.3,130.388,0.5811541775731188,0.008281498325605097,1.1540268568206327,0.06
30,30,erdos_renyi_graph,random,0.3,0.3,Naive,1.275,0.3,325.098,0.9083441416295126,0.7658589341349922,1.050829349124033,0.17
31,31,erdos_renyi_graph,random,0.3,0.3,"degree_centrality, betweenness_centrality, community",0.678,0.3,126.063,0.45777403098012276,0.26644261323946455,0.649105448720781,0.02
32,32,erdos_renyi_graph,random,0.3,0.3,"degree_centrality, betweenness_centrality",0.677,0.3,125.802,0.4445088423901448,0.25841404982015004,0.6306036349601396,0.02
33,33,erdos_renyi_graph,random,0.3,0.3,community,1.267,0.3,322.202,0.9349121222928427,0.7891707370056074,1.080653507580078,0.16
34,34,erdos_renyi_graph,random,0.3,0.3,Node2Vec,0.705,0.3,135.126,0.4788420044132665,0.16928111808393448,0.7884028907425986,0.03
35,35,erdos_renyi_graph,random,0.6,0.3,Naive,1.892,0.3,530.605,1.5963678435328283,1.3564013227803169,1.8363343642853398,0.43
36,36,erdos_renyi_graph,random,0.6,0.3,"degree_centrality, betweenness_centrality, community",0.55,0.3,83.27,0.29687668633618974,0.08460721687942319,0.5091461557929563,0.09
37,37,erdos_renyi_graph,random,0.6,0.3,"degree_centrality, betweenness_centrality",0.551,0.3,83.718,0.30256783642350077,0.08894501234202867,0.5161906605049729,0.1
38,38,erdos_renyi_graph,random,0.6,0.3,community,1.889,0.3,529.502,1.358204868652484,1.1182304026644667,1.598179334640501,0.42
39,39,erdos_renyi_graph,random,0.6,0.3,Node2Vec,0.421,0.3,40.167,0.1387805616051978,-0.17551946964440457,0.4530805928548002,0.01
40,40,erdos_renyi_graph,random,0.9,0.3,Naive,6.023,0.3,1907.601,5.688021133827593,4.886557502016912,6.489484765638273,0.79
41,41,erdos_renyi_graph,random,0.9,0.3,"degree_centrality, betweenness_centrality, community",0.835,0.3,178.382,0.6668114819014165,0.4524739317970164,0.8811490320058166,0.05
42,42,erdos_renyi_graph,random,0.9,0.3,"degree_centrality, betweenness_centrality",0.838,0.3,179.475,0.6501020428474832,0.43410432498023865,0.8660997607147277,0.05
43,43,erdos_renyi_graph,random,0.9,0.3,community,6.024,0.3,1907.952,5.691231238729016,4.876058679800838,6.506403797657194,0.77
44,44,erdos_renyi_graph,random,0.9,0.3,Node2Vec,0.677,0.3,125.652,0.4290217910943904,0.08259977697898968,0.7754438052097912,0.07
45,0,barabasi_albert_graph,random,0.3,0.3,treated_neighbors_exposure,1.016,0.3,238.744,1.428663103819261,1.197735853819261,1.659590353819261,0.06
46,1,barabasi_albert_graph,random,0.3,0.3,treated_neighbors_count,1.203,0.3,300.991,1.8265367079405583,1.6046859579405583,2.0483874579405583,0.09
47,2,barabasi_albert_graph,random,0.6,0.3,treated_neighbors_exposure,1.307,0.3,335.709,1.9830763530569604,1.7825263530569604,2.1836263530569604,0.01
48,3,barabasi_albert_graph,random,0.6,0.3,treated_neighbors_count,1.749,0.3,482.943,2.8804282973988924,2.6591880473988923,3.1016685473988925,0.11
49,4,barabasi_albert_graph,random,0.9,0.3,treated_neighbors_exposure,2.883,0.3,860.968,5.249598853065844,4.8276098530658444,5.671587853065844,0.18
50,5,barabasi_albert_graph,random,0.9,0.3,treated_neighbors_count,4.891,0.3,1530.342,9.555979892631639,8.791079642631638,10.320880142631639,0.61
51,6,watts_strogatz_graph,random,0.3,0.3,treated_neighbors_exposure,1.247,0.3,315.747,1.415975471459821,1.232560421459821,1.599390521459821,0.06
52,7,watts_strogatz_graph,random,0.3,0.3,treated_neighbors_count,1.297,0.3,332.319,1.5325250950392122,1.340401995039212,1.7246481950392123,0.07
53,8,watts_strogatz_graph,random,0.6,0.3,treated_neighbors_exposure,1.542,0.3,414.062,1.7790805907397669,1.529936890739767,2.0282242907397667,0.06
54,9,watts_strogatz_graph,random,0.6,0.3,treated_neighbors_count,1.64,0.3,446.629,2.075226648297722,1.833388948297722,2.317064348297722,0.04
55,10,watts_strogatz_graph,random,0.9,0.3,treated_neighbors_exposure,4.26,0.3,1320.161,5.75262946405233,4.92028691405233,6.58497201405233,0.15
56,11,watts_strogatz_graph,random,0.9,0.3,treated_neighbors_count,4.65,0.3,1449.903,6.115954936605566,5.280391636605566,6.9515182366055654,0.17
57,12,erdos_renyi_graph,random,0.3,0.3,treated_neighbors_exposure,0.694,0.3,131.399,0.46710808675651727,0.28999708675651725,0.6442190867565173,0.02
58,13,erdos_renyi_graph,random,0.3,0.3,treated_neighbors_count,0.727,0.3,142.437,0.49329933338861026,0.31780413338861024,0.6687945333886103,0.03
59,14,erdos_renyi_graph,random,0.6,0.3,treated_neighbors_exposure,0.642,0.3,114.029,0.4190258566335587,0.21619405663355865,0.6218576566335587,0.04
60,15,erdos_renyi_graph,random,0.6,0.3,treated_neighbors_count,0.701,0.3,133.535,0.47069008614485974,0.2716868861448597,0.6696932861448598,0.06
61,16,erdos_renyi_graph,random,0.9,0.3,treated_neighbors_exposure,1.184,0.3,294.759,1.0845609289417428,0.8600325289417429,1.309089328941743,0.05
62,17,erdos_renyi_graph,random,0.9,0.3,treated_neighbors_count,0.884,0.3,194.615,0.695821015840143,0.500654215840143,0.890987815840143,0.07
